"","ea","mi","english","work"
"2132",3,1700,3,1
"2133",8,1500,3.75,1
"2135",5,0,4,8
"2138",3,1200,2,1
"2139",7,1000,3,1
"2140",10,520,2.25,1
"2141",3,1000,2.25,1
"2142",4,1000,2.75,1
"2145",8,2500,4,1
"2146",5,1000,2.75,1
"2147",8,5000,3,1
"2149",10,0,4,6
"2151",4,1800,2.5,1
"2153",2,0,2.25,8
"2155",9,0,3.75,6
"2156",2,400,1.75,2
"2158",12,4583,4,1
"2159",8,1800,4,1
"2160",2,800,2,1
"2161",4,1600,2.5,1
"2162",10,4000,3.75,1
"2163",10,2500,4,1
"2167",10,2000,2.5,1
"2173",9,0,3,7
"2175",10,2000,3,1
"2177",3,700,2.25,1
"2178",7,2000,3,1
"2179",8,2800,4,1
"2180",9,2500,3,1
"2182",9,2600,3,1
"2185",4,0,4,8
"2187",10,0,2,8
"2189",3,0,2,8
"2190",11,4000,4,1
"2198",9,2750,4,1
"2200",9,1200,2.5,1
"2207",7,1600,2.25,1
"2209",3,800,1.25,1
"2210",4,2000,3,1
"2213",9,3000,3,1
"2214",10,2000,3,1
"2217",4,0,2.75,9
"2219",9,3000,4,1
"2221",3,0,1.25,8
"2225",6,1250,2.75,1
"2226",6,800,2,1
"2230",4,400,4,2
"2231",4,1500,3,1
"2236",10,4000,3,1
"2237",5,0,3,8
"2243",3,0,2.75,8
"2244",10,2300,3,1
"2245",10,6000,4,1
"2248",2,0,2,6
"2250",9,1200,4,1
"2251",4,2000,4,1
"2252",4,1600,2.25,1
"2254",4,800,2,1
"2259",10,5600,4,1
"2260",4,0,4,4
"2262",9,1600,1.5,1
"2267",11,4400,4,1
"2268",4,900,3.5,1
